id,street,city,state,zip
0,3547 TRENERY DR,Pleasanton,CA,94588
1,1796 BALI TER,San Leandro,,94578
2,1064 VIA PALMA,San Lorenzo,CA,94580
3,4350 CUSHING PKWY,Fremont,CA,94538
4,36754 HAFNER ST,Newark,CA,94560
5,707 HOLLYHOCK DR,San Leandro,CA,94578
6,809 KENSINGTON DR,Fremont,CA,94539
7,16683 COWELL ST,San Leandro,CA,94578
8,3577 HELEN DR,Pleasanton,CA,94588
9,5797 SCARBOROUGH DR,Oakland,CA,94611
10,19177 CARLTON AVE,Castro Valley,CA,94546
11,25159 VALLEY OAK DR,Castro Valley,CA,94552
12,106 VICENTE RD,Berkeley,CA,94705
13,777 PLEASANT AVE,Livermore,CA,94551
14,725 CENTRAL AVE,Livermore,CA,94551
15,32497 LAKE CHABOT ST,Fremont,CA,94555
16,41105 CANYON HEIGHTS DR,Fremont,CA,94539
17,4985 MANSBURY ST,Fremont,CA,94538
18,2721 CALIFORNIA ST,Berkeley,CA,94703
19,28373 CABRINI DR,Hayward,CA,94545
20,1255 MIXTEC CT,Fremont,CA,94539
21,30 GLEN EDEN AVE,Oakland,CA,94611
22,426 LESTER AVE,Oakland,CA,94606
23,323 MEDFORD AVE,Hayward,CA,94541
24,2130  8TH AVE,Oakland,CA,94606
25,341 KILKARE RD,Sunol,CA,94586
26,4426 SACRAMENTO AVE,Fremont,CA,94538
27,9630 PLYMOUTH ST,Oakland,CA,94603
28,1597 VIA DI SALERNO,Pleasanton,CA,94566
29,21333 MISSION BLVD,Hayward,CA,94541
30,6132 ROBERTSON AVE,Newark,CA,94560
31,10041 TESLA RD,Livermore,CA,94550
32,2014 WHELAN AVE,San Leandro,CA,94577
33,711 WASHINGTON AVE,Albany,CA,94706
34,5177 ABBEYWOOD DR,Castro Valley,CA,94552
35,1517 ALCATRAZ AVE,Berkeley,CA,94703
36,382 CAVOUR ST,Oakland,CA,94618
37,1621   63RD ST,Berkeley,CA,94703
38,6818 FLORA ST,Oakland,CA,94621
39,5576 ARLENE WAY,Livermore,CA,94550
40,7000 WINEBERRY WAY,Dublin,CA,94568
41,944  105TH AVE,Oakland,CA,94603
42,201 DRUMMOND DR,Hayward,CA,94552
43,1436 MOUNTAIN BLVD,Oakland,CA,94611
44,701 YUROK CT,Fremont,CA,94539
45,1463 SHATTUCK AVE,Berkeley,CA,94709
46,6288 SUNNYMERE AVE,Oakland,CA,94605
47,5488 HOLLAND ST,Oakland,CA,94601
48,1013 KEITH AVE,Berkeley,CA,94708
49,2000 YOLO AVE,Berkeley,CA,94707
50,1535 CENTRAL AVE,Alameda,CA,94501
51,32231 HORATIO CT,Union City,CA,94587
52,505 HOLLY OAK LN,Alameda,CA,94502
53,164 VIA CONIL,San Lorenzo,CA,94580
54,5347 WISTERIA WAY,Livermore,CA,94551
55,38881 CANYON HEIGHTS DR,Fremont,CA,94536
56,23951 CLAWITER RD,Hayward,CA,94545
57,1634 WALNUT ST,Berkeley,CA,94709
58,4532 MARTIN ST,Union City,CA,94587
59,257 VERNON ST,Oakland,CA,94610
60,3893 LYMAN RD,Oakland,CA,94602
61,4127 FREEDA CT,Livermore,CA,94550
62,40018 DOLERITA AVE,Fremont,CA,94539
63,2237   62ND AVE,Oakland,CA,94605
64,1528 JULIA ST,Berkeley,CA,94703
65,32763 BUCKS LAKE LN,Fremont,CA,94555
66,39534 KONA CT,Fremont,CA,94538
67,873 BROCKHURST ST,Emeryville,CA,94608
68,34821 POTOMAC RIVER PL,Fremont,CA,94555
69,2813 HUMBOLDT AVE,Oakland,CA,94602
70,24749 BROADMORE AVE,Hayward,CA,94544
71,622 CURTIS ST,Albany,CA,94706
72,4061 PEREGRINE WAY,Pleasanton,CA,94566
73,2201 OCEANSIDE WAY,San Leandro,CA,94579
74,6541 MOKELUMNE AVE,Oakland,CA,94605
75,47899 MAYA ST,Fremont,CA,94539
76,6711 ALBYN CT,Newark,CA,94560
77,5376 BRIAR RIDGE DR,Castro Valley,CA,94552
78,2645 CHEROKEE AVE,Oakland,,94605
79,1935   94TH AVE,Oakland,CA,94603
80,29088 GILLINGHAM ST,Hayward,CA,94544
81,5377 HILLTOP CRES,Oakland,CA,94618
82,6485 BUENA VISTA DR,Newark,CA,94560
83,39665 BENAVENTE AVE,Fremont,CA,94539
84,814 MISSION BELL PL,Hayward,CA,94544
85,4432 SHEPHERD ST,Oakland,CA,94619
86,336 GALWAY BAY,Alameda,CA,94502
87,4115 TELEGRAPH AVE,Oakland,CA,94609
88,546 RUBY RD,Livermore,CA,94550
89,1048   53RD ST,Emeryville,CA,94608
90,23216 ERNEST CT,Hayward,CA,94541
91,2710 BANCROFT WAY,Berkeley,CA,94720
92,2000 ARROYO RD,Livermore,CA,94550
93,66 EDGEMONT WAY,Oakland,CA,94605
94,16025 VIA DEL SOL,San Lorenzo,CA,94580
95,4469 MASTERSON ST,Oakland,CA,94619
96,3622 CONGRESS CT,Fremont,CA,94538
97,1977 PLEASANT VALLEY AVE,Oakland,CA,94611
98,2035 ROSEDALE AVE,Oakland,CA,94601
99,1475 E 38TH ST,Oakland,CA,94602
100,1623   12TH ST,Oakland,CA,94607
101,2633 MALLARD CT,Union City,CA,94587
102,3270 PERALTA BLVD,Fremont,CA,94536
103,27740 HAVANA AVE,Hayward,CA,94544
104,243 BRIDGEWATER RD,Hayward,CA,94544
105,6016 N ROCKRIDGE BLVD,Oakland,CA,94618
